Training Env Iteration,Time,Reward
991,1666924448024,-32.3485321969697
1002,1666924461970,-32.8392440025253
1013,1666924496510,-32.6785222011784
1024,1666924502571,-33.1622501052189
1035,1666924542688,-33.9903593223906
1046,1666924550427,-33.6660300925926
1057,1666924591159,-33.1475168350168
1068,1666924596836,-33.4197259048822
1079,1666924622359,-32.5464883207071
1090,1666924643990,-31.3926373106061
1101,1666924659734,-30.824087226431
1112,1666924691840,-31.5660248316498
1123,1666924708287,-32.1820417718855
1134,1666924740114,-31.8573626893939
1145,1666924752509,-31.5201888678451
1156,1666924786784,-31.7458175505051
1167,1666924794293,-31.0955150462963
1178,1666924833690,-30.1333438552188
1189,1666924840736,-29.8670743897306
1200,1666924879717,-29.937852483165
1211,1666924886910,-30.1564604377104
1222,1666924903915,-30.5017098063973
1233,1666924934052,-30.4550583964646
1244,1666924952021,-30.3546006944445
1255,1666924980265,-29.5309711700337
1266,1666924999941,-29.2806686658249
1277,1666925027709,-29.3343355429293
1288,1666925036606,-29.0256207912458
1299,1666925074634,-29.0502919823232
1310,1666925081673,-29.2631549873737
1321,1666925121147,-29.7317077020202
1332,1666925129099,-29.5052162247475
1343,1666925159507,-30.0267518939394
1354,1666925174552,-29.377530513468
1365,1666925194008,-28.7313525883838
1376,1666925221698,-28.4334438131313
1387,1666925241973,-27.7798663720539
1398,1666925267650,-27.8083885732323
1409,1666925282428,-27.7558317550505
1420,1666925315486,-28.8413325968013
1431,1666925322119,-28.4748816287879
1442,1666925361498,-28.0171506734007
1453,1666925368166,-28.0690314604377
1464,1666925405546,-27.3319418139731
1475,1666925414938,-27.1043034511784
1486,1666925435742,-26.8311868686869
1497,1666925460362,-26.6173637415825
1508,1666925481625,-26.8732270622896
1519,1666925506417,-27.1751946548822
1530,1666925528284,-26.9443839436027
1541,1666925552772,-26.8759232954545
1552,1666925564574,-26.7781144781145
1563,1666925598181,-26.624647516835
1574,1666925605815,-25.7913194444444
1585,1666925643793,-25.5334411826599
1596,1666925652128,-25.5035300925926
1607,1666925685701,-26.002212226431
1618,1666925697669,-26.04148253367
1629,1666925720232,-25.783704229798
1640,1666925742108,-25.6002604166667
1651,1666925765274,-25.1102798821549
1662,1666925788381,-24.865382996633
1673,1666925804046,-24.3283564814815
1684,1666925834042,-24.7533854166667
1695,1666925842513,-24.3363610058923
1706,1666925879368,-24.7368344907407
1717,1666925887382,-25.2190656565657
1728,1666925921549,-24.4593986742424
1739,1666925933150,-24.4826573021886
1750,1666925957986,-24.407460016835
1761,1666925976461,-23.5215277777778
1772,1666926001539,-23.2909196127946
1783,1666926022589,-23.3396070075758
1794,1666926048012,-23.9990240951178
1805,1666926067413,-24.1704861111111
1816,1666926080612,-24.0581413089226
1827,1666926112613,-23.6889756944444
1838,1666926121147,-23.1602562079125
1849,1666926155933,-22.9423821548822
1860,1666926166128,-22.8375499789562
1871,1666926199486,-22.6863268097643
1882,1666926209870,-23.0672374789562
1893,1666926237553,-23.0864793771044
1904,1666926254313,-23.1083491161616
1915,1666926281424,-23.3769070917508
1926,1666926299570,-22.6695259890572
1937,1666926317000,-22.1055003156566
1948,1666926344425,-22.0438105008418
1959,1666926351920,-22.0669113005051
1970,1666926388915,-21.8182686237374
1981,1666926397061,-22.0075783880471
1992,1666926431643,-22.1098537457912
2003,1666926441248,-22.1830808080808
2014,1666926470102,-21.7656618265993
2025,1666926484419,-21.771853956229
2036,1666926513463,-21.640646043771
2047,1666926529245,-21.5961437289562
2058,1666926558771,-21.3706044823232
2069,1666926574289,-21.2400515572391
2080,1666926589097,-21.583241266835
2091,1666926619041,-21.6089278198653
2102,1666926627000,-21.5793639520202
2113,1666926664086,-21.0577309553872
2124,1666926671433,-21.1543008207071
2135,1666926701891,-21.0243002946128
2146,1666926714282,-21.1225194654882
2157,1666926745375,-21.2409064604377
2168,1666926758377,-21.0665193602694
2179,1666926788522,-21.0061368897306
2190,1666926802670,-21.305787037037
2201,1666926821051,-21.25695496633
2212,1666926848003,-20.8589751683502
2223,1666926856104,-21.189656986532
2234,1666926892401,-20.7170796506734
2245,1666926900002,-20.478498526936
2256,1666926932210,-20.5798584806397
2267,1666926942738,-20.5845117845118
2278,1666926974128,-20.6750789141414
2289,1666926987446,-20.5631891835017
2300,1666927015644,-20.6770412457912
2311,1666927027663,-20.3462962962963
2322,1666927055666,-20.2304634890572
2333,1666927067846,-20.1684659090909
2344,1666927081542,-20.1071917087542
2355,1666927108121,-20.2439683291246
2366,1666927115163,-19.9509285563973
2377,1666927148725,-20.235619212963
2388,1666927155560,-20.1493213383838
2399,1666927184381,-20.1384364478114
2410,1666927195381,-19.6308501683502
2421,1666927223403,-19.6754708543771
2432,1666927235304,-19.4586358375421
2443,1666927264233,-19.4742818813131
2454,1666927274540,-19.16804503367
2465,1666927291487,-19.5161879208754
2476,1666927314783,-19.73203125
2487,1666927322198,-19.3715119949495
2498,1666927355291,-18.9449258207071
2509,1666927363130,-19.0414877946128
2520,1666927391888,-19.1915877525252
2531,1666927402217,-19.0397700968013
2542,1666927429941,-19.1873237584175
2553,1666927441166,-19.1996422558923
2564,1666927470831,-19.2639546506734
2575,1666927481405,-19.1899279250842
2586,1666927508930,-19.131284196128
2597,1666927520224,-18.9477930345118
2608,1666927535722,-18.7647648358586
2619,1666927560329,-18.741669297138
2630,1666927568310,-18.9961542508418
2641,1666927599592,-18.4863268097643
2652,1666927607917,-18.5350352483165
2663,1666927639071,-18.9483454335017
2674,1666927646104,-18.7294270833333
2685,1666927676900,-18.8236610900673
2696,1666927686120,-18.5785406144781
2707,1666927715159,-18.5845249368687
2718,1666927725783,-18.5434816919192
2729,1666927743322,-18.6085542929293
2740,1666927764959,-18.2565551346801
2751,1666927775979,-18.3990477693603
2762,1666927805393,-18.586103219697
2773,1666927813241,-18.3970828072391
2784,1666927845311,-18.3146543560606
2795,1666927853053,-18.1883101851852
2806,1666927882883,-18.1521333122896
2817,1666927889818,-18.3691340488215
2828,1666927922543,-18.2537984006734
2839,1666927930217,-18.136476746633
2850,1666927956909,-18.1717461069024
2861,1666927969562,-18.4495528198653
2872,1666927985549,-18.3563499579125
2883,1666928009402,-18.2695575547138
2894,1666928018054,-18.0242476851852
2905,1666928049334,-18.0049742213805
2916,1666928056418,-17.8930739688552
2927,1666928088361,-18.3753419612795
2938,1666928093449,-17.9775568181818
2949,1666928128334,-18.1231639309764
2960,1666928133760,-18.112279040404
2971,1666928161422,-17.9021412037037
2982,1666928173353,-17.9009601220539
2993,1666928192815,-17.6000605008418
3004,1666928213609,-17.4853666877104
3015,1666928227439,-17.627882996633
3026,1666928253372,-17.7376920244108
3037,1666928259525,-17.60554503367
3048,1666928291803,-17.6066892887205
3059,1666928299445,-17.4401304713805
3070,1666928332131,-17.3586332070707
3081,1666928336492,-17.7794586489899
3092,1666928371007,-17.7364136153199
3103,1666928376862,-17.2803977272727
3114,1666928401635,-17.4195365109428
3125,1666928417124,-17.5072416877104
3136,1666928433801,-17.4475326178451
3147,1666928455923,-17.7596433080808
3158,1666928464185,-17.2248921506734
3169,1666928495888,-17.4106876052189
3180,1666928502729,-17.6450968013468
3191,1666928534811,-17.4445996422559
3202,1666928541307,-17.2221143728956
3213,1666928574187,-17.2233743686869
3224,1666928580005,-17.2092461069024
3235,1666928606579,-17.035453493266
3246,1666928619504,-17.4616740319865
3257,1666928640317,-17.3645307239057
3268,1666928659046,-17.1528777356902
3279,1666928677265,-16.981657723064
3290,1666928698588,-17.0243002946128
3301,1666928705167,-16.9060658670034
3312,1666928738450,-17.3875605008417
3323,1666928744518,-17.1471959175084
3334,1666928777355,-17.0582491582492
3345,1666928784186,-17.0895386153199
3356,1666928816118,-17.0074284511784
3367,1666928821914,-17.184396043771
3378,1666928844682,-17.0065709175084
3389,1666928862094,-17.1699074074074
3400,1666928881340,-16.8592382154882
3411,1666928901882,-16.967505787037
3422,1666928909273,-16.9483296506734
3433,1666928941204,-16.8258864688552
3444,1666928948080,-16.9707228535353
3455,1666928980726,-16.9120107323232
3466,1666928987690,-16.7302451599327
3477,1666929019335,-17.0411221590909
3488,1666929025059,-16.7300320917508
3499,1666929049636,-16.7529908459596
3510,1666929064922,-16.5757996632997
3521,1666929086745,-16.8766992845118
3532,1666929104309,-16.4231271043771
3543,1666929123550,-16.6632365319865
3554,1666929143152,-16.3916114267677
3565,1666929150901,-16.673921506734
3576,1666929181771,-16.4237110690236
3587,1666929189863,-16.1880576599327
3598,1666929220909,-16.6401357323232
3609,1666929228781,-16.36804503367
3620,1666929258553,-16.1936342592593
3631,1666929266834,-16.0229087752525
3642,1666929288809,-16.4267992424242
3653,1666929305819,-16.2473642676768
3664,1666929327307,-16.3651094276094
3675,1666929344425,-16.2511258417508
3686,1666929353101,-16.1758338594276
3697,1666929383526,-16.4005366161616
3708,1666929391480,-16.2859980008417
3719,1666929422337,-16.0050583964646
3730,1666929429937,-16.3220038930976
3741,1666929461322,-16.2283827861953
3752,1666929469933,-16.3888231271044
3763,1666929490928,-16.3875210437711
3774,1666929507283,-15.979632260101
3785,1666929529184,-16.3881549873737
3796,1666929546553,-16.1992134890572
3807,1666929567713,-16.1053345959596
3818,1666929585821,-16.0384574915825
3829,1666929594498,-16.1687026515152
3840,1666929624145,-15.9147148569024
3851,1666929632743,-15.9110321969697
3862,1666929662274,-15.9201099537037
3873,1666929671001,-15.8203651094276
3884,1666929700638,-15.9141019570707
3895,1666929710599,-15.6985532407407
3906,1666929731590,-16.0228666877104
3917,1666929748526,-15.6253630050505
3928,1666929768751,-15.9647227483165
3939,1666929787107,-15.860398253367
3950,1666929797138,-16.0188394360269
3961,1666929825705,-15.7649016203704
3972,1666929835452,-15.7506602483165
3983,1666929862831,-15.7899831649832
3994,1666929873321,-15.8195049452862
4005,1666929901760,-15.687873526936
4016,1666929912097,-15.7371764520202
4027,1666929936348,-15.7222011784512
4038,1666929950422,-15.7610795454546
4049,1666929970242,-15.7982823021886
4060,1666929988773,-16.1341487794613
4071,1666930007988,-15.7121896043771
4082,1666930027493,-15.8967040193603
4093,1666930036629,-16.0552004419192
4104,1666930064299,-15.6923690025253
4115,1666930075871,-15.7143571127946
4126,1666930102489,-15.8117713594276
4137,1666930113967,-15.9530776515152
4148,1666930140762,-15.72882996633
4159,1666930152563,-15.7211358375421
4170,1666930174911,-15.8375499789562
4181,1666930191143,-15.7511600378788
4192,1666930209672,-16.0787852483165
4203,1666930229482,-15.7089251893939
4214,1666930241722,-15.6120186237374
4225,1666930267206,-15.664436026936
4236,1666930278106,-15.7891308922559
4247,1666930304187,-15.603740530303
4258,1666930316431,-15.6492555765993
4269,1666930343172,-15.3321285774411
4280,1666930355178,-15.5060869107744
4291,1666930381130,-15.6475773358586
4302,1666930393122,-15.3304924242424
4313,1666930413547,-15.4414430765993
4324,1666930430421,-15.5481560395623
4335,1666930447378,-15.3703203914141
4346,1666930468980,-15.3292192760943
4357,1666930481473,-15.3235216750842
4368,1666930505336,-15.4276146885522
4379,1666930518272,-15.4444681186869
4390,1666930543684,-15.3394386574074
4401,1666930556925,-15.614007260101
4412,1666930583025,-15.4061026936027
4423,1666930594963,-15.3219828493266
4434,1666930615341,-15.1851799242424
4445,1666930633045,-15.1229140361953
4456,1666930649782,-15.443231797138
4467,1666930670209,-15.378345959596
4478,1666930685843,-15.6701625631313
4489,1666930708654,-15.0292902988216
4500,1666930721824,-15.4612452651515
4511,1666930745694,-15.3767966119529
4522,1666930758511,-15.1198653198653
4533,1666930783626,-15.212610479798
4544,1666930797277,-15.3168323863636
4555,1666930821737,-15.2896753998317
4566,1666930834300,-15.3288483796296
4577,1666930856219,-15.394102483165
4588,1666930871131,-15.1073416456229
4599,1666930888117,-15.3703808922559
4610,1666930910022,-15.0490135732323
4621,1666930925839,-14.951825547138
4632,1666930947900,-15.0272806186869
4643,1666930961692,-15.1113978324916
4654,1666930985472,-14.9259232954546
4665,1666930998430,-15.2920875420875
4676,1666931022942,-15.1625710227273
4687,1666931036794,-15.2218118686869
4698,1666931057490,-14.9730402988216
4709,1666931073671,-15.0180555555556
4720,1666931089794,-15.0094433922559
4731,1666931111159,-15.0495870159933
4742,1666931127635,-14.9518281776094
4753,1666931150140,-14.9198574284512
4764,1666931164433,-14.7712121212121
4775,1666931186996,-14.8470354587542
4786,1666931201153,-14.8645754419192
4797,1666931223175,-15.1037984006734
4808,1666931236894,-14.9604692760943
4819,1666931260749,-14.7203203914141
4830,1666931273903,-14.8829124579125
4841,1666931297082,-14.9168244949495
4852,1666931311836,-14.7973905723906
4863,1666931329259,-14.9000368265993
4874,1666931350858,-14.9395543981481
4885,1666931366111,-14.9339383417508
4896,1666931389511,-14.754500736532
4907,1666931404934,-14.8243686868687
4918,1666931425621,-14.7550847011785
4929,1666931438216,-14.4692655723906
4940,1666931461904,-14.7532039141414
4951,1666931476331,-14.8745186237374
4962,1666931499150,-14.7214304503367
4973,1666931513837,-14.6270622895623
4984,1666931533820,-14.6795638678451
4995,1666931551135,-14.6896517255892
5006,1666931568581,-14.4974668560606
5017,1666931589922,-14.414622790404
5025,1666931605674,-14.6822890361953
5050,1666931683297,-14.6150936447811
5061,1666931685378,-14.6439841119529
5072,1666931686898,-14.6596354166667
5083,1666931724010,-14.5483691077441
5094,1666931725392,-14.6127472643098
5105,1666931763029,-14.4848063973064
5116,1666931764214,-14.569026199495
5127,1666931802102,-14.3978824705387
5138,1666931803390,-14.3518728956229
5149,1666931840815,-14.4895438762626
5160,1666931842569,-14.4250841750842
5171,1666931879887,-14.3826651936027
5182,1666931881765,-14.345851746633
5193,1666931918692,-14.5021359427609
5204,1666931920773,-14.5098248106061
5215,1666931924119,-14.4993108164983
5226,1666931959932,-14.3341645622896
5237,1666931962348,-14.5384232954545
5248,1666931998380,-14.5316550925926
5259,1666932000540,-14.1876262626263
5270,1666932037520,-14.1185527146465
5281,1666932039681,-14.3050347222222
5292,1666932076614,-14.4138468013468
5303,1666932078567,-14.3360427188552
5314,1666932115457,-13.9871001683502
5325,1666932117807,-14.0937552609428
5336,1666932123248,-14.3293718434343
5347,1666932156287,-14.0433396464646
5358,1666932161202,-14.0501499368687
5369,1666932195153,-14.2198416456229
5380,1666932198847,-13.9247211700337
5391,1666932234430,-13.9436368897306
5402,1666932236684,-14.1486268939394
5413,1666932273990,-14.0665772306397
5424,1666932276148,-14.1668586910774
5435,1666932312700,-14.1090514520202
5446,1666932315256,-14.1003235479798
5457,1666932350944,-14.0676688762626
5468,1666932354095,-14.2708912037037
5479,1666932361447,-14.2016598274411
5490,1666932393093,-14.0413694234007
5501,1666932398479,-14.1357323232323
5512,1666932432177,-14.1267466329966
5523,1666932436549,-14.0241345749158
5534,1666932471046,-13.9310474537037
5545,1666932473695,-14.2582123316498
5556,1666932509949,-14.0349247685185
5567,1666932512902,-13.8568234427609
5578,1666932549093,-13.7665640782828
5589,1666932551790,-13.9035853324916
5600,1666932560935,-14.1315814393939
5611,1666932590250,-13.9681134259259
5622,1666932597472,-14.0646753998317
5633,1666932629522,-13.7870317760943
5644,1666932635200,-14.0343644781145
5655,1666932668707,-14.0560500841751
5666,1666932671930,-14.018584280303
5677,1666932707553,-14.0091777146465
5688,1666932710618,-13.9653330176768
5699,1666932746581,-13.7666351010101
5710,1666932749682,-14.0335832281145
5721,1666932783656,-13.8374579124579
5732,1666932787840,-13.9507181186869
5743,1666932798826,-13.8071180555556
5754,1666932826923,-13.8680318813131
5765,1666932834753,-13.7387468434343
5776,1666932866092,-13.7934185606061
5787,1666932873027,-13.7730376683502
5798,1666932905240,-13.944365530303
5809,1666932908982,-13.888633733165
5820,1666932944432,-13.9979061447811
5831,1666932947896,-13.9679976851852
5842,1666932982339,-13.8386916035354
5853,1666932986332,-13.9360164141414
5864,1666932999205,-13.7789877946128
5875,1666933024533,-13.6116056397306
5886,1666933033821,-13.6294875841751
5897,1666933063528,-13.6819707491583
5908,1666933071996,-13.656381523569
5919,1666933102705,-13.6552740951178
5930,1666933107346,-13.8994502314815
5941,1666933141848,-13.8372106481481
5952,1666933145889,-13.7341566708754
5963,1666933180935,-13.4842198021885
5974,1666933183852,-13.5749631734007
5985,1666933216630,-13.536255787037
5996,1666933222319,-13.6429371843434
6007,1666933236746,-13.4500920664983
6018,1666933260747,-13.5189262415825
6029,1666933271129,-13.7061474116162
6040,1666933299829,-13.3505418771044
6051,1666933309482,-13.5842224326599
6062,1666933338759,-13.5972301136364
6073,1666933343343,-13.3914588594276
6084,1666933377668,-13.4844696969697
6095,1666933380801,-13.4360532407407
6106,1666933415860,-13.4568365951178
6117,1666933419608,-13.44617003367
6128,1666933436279,-13.6110663930976
6139,1666933458419,-13.3355981691919
6150,1666933470592,-13.5699994739057
6161,1666933497558,-13.5142781986532
6172,1666933508490,-13.5673216540404
6183,1666933536318,-13.4697101220539
6194,1666933540997,-13.5312368476431
6205,1666933575517,-13.6418376473064
6216,1666933579317,-13.6350668139731
6227,1666933614682,-13.3450021043771
6238,1666933617456,-13.5802951388889
6249,1666933649096,-13.3795822811448
6260,1666933656587,-13.5400489267677
6271,1666933674688,-13.4833385942761
6282,1666933695245,-13.6447574705387
6293,1666933706746,-13.4268123947812
6304,1666933733749,-13.4550320917508
6315,1666933745842,-13.4995554503367
6326,1666933773288,-13.4915903829966
6337,1666933777080,-13.7029487584175
6348,1666933812043,-13.5401567760943
6359,1666933815123,-13.2432186447811
6370,1666933848483,-13.3005024200337
6381,1666933854052,-13.3941998106061
6392,1666933874429,-13.2449626473064
6403,1666933892678,-13.3811316287879
6414,1666933906467,-13.2791745580808
6425,1666933931983,-13.5180529250842
6436,1666933944283,-13.3690840698653
6447,1666933970646,-13.4219197180135
6458,1666933974969,-13.492858270202
6469,1666934009479,-13.3787300084175
6480,1666934013107,-13.3765046296296
6491,1666934048215,-13.5149831649832
6502,1666934051676,-13.3413194444444
6513,1666934082826,-13.3412878787879
6524,1666934090535,-13.3792613636364
6535,1666934112385,-13.3300426136364
6546,1666934129820,-13.3294060395623
6557,1666934142950,-13.4874658038721
6568,1666934168820,-13.3709438131313
6579,1666934182073,-13.2685500841751
6590,1666934206968,-13.4045507154882
6601,1666934211743,-13.3594670664983
6612,1666934245875,-13.3242476851852
6623,1666934249438,-13.3685237794613
6634,1666934281715,-13.2075599747475
6645,1666934288456,-13.5213278619529
6656,1666934312206,-13.3304450757576
6667,1666934327381,-13.379445496633
6678,1666934343096,-13.4422848274411
6689,1666934366204,-13.2813183922559
6700,1666934380893,-13.3700652356902
6711,1666934405481,-13.1669744318182
6722,1666934409644,-13.2092198021886
6733,1666934444193,-13.1809843223906
6744,1666934448634,-13.3146412037037
6755,1666934482109,-13.1557133838384
6766,1666934485855,-13.153256523569
6777,1666934514803,-13.10539246633
6788,1666934524999,-13.1431239478115
6799,1666934550068,-13.0617503156566
6810,1666934563620,-13.2340330387205
6821,1666934579136,-13.0518018728956
6832,1666934602694,-13.3296033249158
6843,1666934617465,-13.2290404040404
6854,1666934642107,-13.0572627314815
6865,1666934646279,-13.2678293350168
6876,1666934679424,-13.255821233165
6887,1666934684146,-12.9917771464646
6898,1666934714986,-13.1102930345118
6909,1666934723263,-13.0786063762626
6920,1666934749233,-13.1550689183502
6931,1666934761494,-13.1251341540404
6942,1666934778922,-13.2121106902357
6953,1666934800133,-13.1309738005051
6964,1666934816824,-13.1905829124579
6975,1666934839218,-13.1532275883838
6986,1666934844633,-13.1382417929293
6997,1666934877991,-13.3924742213805
7008,1666934881970,-13.1862110690236
7019,1666934915429,-12.9645123106061
7030,1666934920763,-13.2321732954545
7041,1666934948298,-12.9766151094276
7052,1666934959389,-13.0192497895623
7063,1666934987414,-13.0104166666667
7074,1666934997687,-13.1751551978114
7085,1666935015650,-13.0672690446128
7096,1666935036400,-13.0900883838384
7107,1666935052667,-13.0752472643098
7118,1666935074890,-13.0400199915825
7129,1666935081113,-13.1756286826599
7140,1666935113406,-13.1985637626263
7151,1666935118630,-13.0886074284512
7162,1666935147462,-13.2376420454545
7173,1666935157225,-13.2917087542088
7184,1666935186250,-12.9667219065657
7195,1666935195847,-13.1147201178451
7206,1666935214908,-12.9455913299663
7217,1666935233819,-13.0385337752525
7228,1666935252843,-13.0677846170034
7239,1666935272656,-12.9850326178451
7250,1666935279252,-13.1434895833333
7261,1666935310531,-12.9876920244108
7272,1666935317955,-13.0624158249158
7283,1666935348669,-13.1123921506734
7294,1666935355116,-13.0121501473064
7305,1666935385490,-12.9529093013468
7316,1666935393848,-12.8639625420876
7327,1666935420775,-13.0032249579125
7338,1666935431518,-12.9754971590909
7349,1666935452904,-12.9712752525253
7360,1666935469965,-12.8593513257576
7371,1666935487876,-12.9644097222222
7382,1666935508033,-12.8763862584175
7393,1666935515822,-12.9245870159933
7404,1666935546800,-12.8292403198653
7415,1666935553133,-12.8694523358586
7426,1666935585499,-13.0285037878788
7437,1666935591742,-12.8845749158249
7448,1666935618881,-12.8655250420875
7459,1666935630189,-13.0407538930976
7470,1666935651428,-12.7911563552189
7481,1666935667654,-12.8662142255892
7492,1666935688559,-12.8798348063973
7503,1666935705191,-12.8141019570707
7514,1666935713122,-12.8152935606061
7525,1666935744054,-12.7466671927609
7536,1666935751731,-12.9471143728956
7547,1666935783035,-12.8249184553872
7558,1666935789556,-12.8677241161616
7569,1666935821312,-12.7436342592593
7580,1666935827452,-12.6662878787879
7591,1666935852512,-12.6559080387205
7602,1666935864450,-12.6820049452862
7613,1666935889047,-12.8877998737374
7624,1666935903110,-12.6478851010101
7635,1666935923030,-12.7017203282828
7646,1666935941678,-12.737368476431
7657,1666935949511,-12.6759154040404
7668,1666935980248,-12.6580676557239
7679,1666935986747,-12.6704466540404
7690,1666936018948,-12.7989688552189
7701,1666936025710,-12.8297032828283
7712,1666936052507,-12.73671875
7723,1666936062867,-12.7199310816498
7734,1666936087878,-12.7413720538721
7745,1666936100890,-12.7702099116162
7756,1666936124592,-12.6661695075758
7767,1666936139925,-12.6536510942761
7778,1666936147299,-12.7604456018519
7789,1666936178206,-12.500594486532
7800,1666936185519,-12.614172979798
7811,1666936216315,-12.6274647516835
7822,1666936223413,-12.6140493476431
7833,1666936253635,-12.716274726431
7844,1666936261468,-12.7327099116162
7855,1666936285486,-12.6967671506734
7866,1666936298866,-12.823063973064
7877,1666936323405,-12.6893860479798
7888,1666936336750,-12.5395912247475
7899,1666936358603,-12.6012547348485
7910,1666936375517,-12.7359795875421
7921,1666936383878,-12.6697627314815
7932,1666936413466,-12.6307581018519
7943,1666936420978,-12.6925899621212
7954,1666936450886,-12.6722748316498
7965,1666936459669,-12.5328361742424
7976,1666936486281,-12.8393518518519
7987,1666936497660,-12.6279066708754
7998,1666936522324,-12.5656723484848
8009,1666936535539,-12.7363268097643
8020,1666936559426,-12.7523542718855
8031,1666936573034,-12.6236663510101
8042,1666936581315,-12.7028987794613
8053,1666936611840,-12.6547716750842
8064,1666936619375,-12.7210490319865
8075,1666936649653,-12.6905592382155
8086,1666936657608,-12.5520991161616
8097,1666936685481,-12.5902146464646
8108,1666936696256,-12.5920822811448
8119,1666936722322,-12.5617871422559
8130,1666936734039,-12.4761968644781
8141,1666936757799,-12.4926899200337
8152,1666936770579,-12.647095959596
8163,1666936792269,-12.5393913089226
8174,1666936808965,-12.5200599747475
8185,1666936818015,-12.6710753367003
8196,1666936847084,-12.5501236321549
8207,1666936855653,-12.5060500841751
8218,1666936882426,-12.5974800084175
8229,1666936894115,-12.4996080597643
8240,1666936920685,-12.5136968644781
8251,1666936932588,-12.427212226431
8262,1666936957233,-12.546204229798
8273,1666936968503,-12.3659748526936
8284,1666936990795,-12.5288273358586
8295,1666937005607,-12.3847985058923
8306,1666937014987,-12.5505918560606
8317,1666937044995,-12.5012757786195
8328,1666937054350,-12.544586489899
8339,1666937081759,-12.5390677609428
8350,1666937092615,-12.3220591329966
8361,1666937118565,-12.4836595117845
8372,1666937130247,-12.439172979798
8383,1666937155539,-12.271446233165
8394,1666937167059,-12.2733086069024
8405,1666937193194,-12.4602483164983
8416,1666937203106,-12.2369817971381
8427,1666937226762,-12.4371080597643
8438,1666937241798,-12.3991214225589
8449,1666937251628,-12.286939709596
8460,1666937280523,-12.3914956860269
8471,1666937290491,-12.2950257786195
8482,1666937316961,-12.3221775042088
8493,1666937328068,-12.1805108375421
8504,1666937353059,-12.5227088594276
8515,1666937365700,-12.4847222222222
8526,1666937390964,-12.2657091750842
8537,1666937401304,-12.3648937289562
8548,1666937424366,-12.2966303661616
8559,1666937438904,-12.4106876052189
8570,1666937450657,-12.4168166035354
8581,1666937477558,-12.3639835858586
8592,1666937487720,-12.2286274200337
8603,1666937515184,-12.2852035984849
8614,1666937525085,-12.2775410353535
8625,1666937550504,-12.399647516835
8636,1666937564224,-12.4458149200337
8647,1666937589305,-12.2287247474748
8658,1666937598881,-12.3406092171717
8669,1666937625743,-12.2701941287879
